Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,260629023427059TXH91HJ3-DO,SUB-TBN,SUB-NWE,1
11398224,26062902342705ABXWBQQLYW-01,SUB-SUB,SUB-TBN,1
11398224,26062902342705ABXWBQQLYW-DO,SUB-TBN,SUB-NWE,1
11398224,26062902342705QFRPEDB0LG-01,SUB-SUB,SUB-TBN,1
11398224,26062902342705QFRPEDB0LG-DO,SUB-TBN,SUB-NWE,1
11398224,260629023504445VFAQXJ-01,MAC-MAC,MAC-SRN,1
11398224,260629023504445VFAQXJ-DO,MAC-MAC,MAC-KD5,1
11398224,26062902402524MUBZEZTXR-01,SUB-SUB,SOC-NGW,1
11398224,26062902402524MUBZEZTXR-DO,SOC-SOC,SUB-NWE,1
11398224,26062902402524X2YJA7CS1P-01,SUB-SUB,SOC-NGW,1
11398224,26062902402524X2YJA7CS1P-DO,SOC-SOC,SUB-NWE,1
11398224,26062902415969QNECA0ARN-01,SUB-SUB,SUB-JOM,1
11398224,26062902415969QNECA0ARN-DO,SUB-SUB,SUB-NWE,1
11398224,26062902473007UVMIPRPE41-01,MAC-MAC,BDO-MGU,1
11398224,26062902473007UVMIPRPE41-DO,BDO-BDO,MAC-KD5,1
11398224,26062902473007ZFMWBIUKL-01,MAC-MAC,BDO-MGU,1
